fips,county_name,actual,ml_pred,hybrid_pred,ml_error,hybrid_error,ml_abs_error,hybrid_abs_error
27129,Renville,375738412.0,0.0,0.0,375738412.0,375738412.0,375738412.0,375738412.0
27127,Redwood,342163479.0,0.0,0.0,342163479.0,342163479.0,342163479.0,342163479.0
27091,Martin,344243123.0,0.0,0.0,344243123.0,344243123.0,344243123.0,344243123.0
27043,Faribault,266465738.0,0.0,0.0,266465738.0,266465738.0,266465738.0,266465738.0
27013,Blue Earth,325171119.0,0.0,0.0,325171119.0,325171119.0,325171119.0,325171119.0
27047,Freeborn,236799535.0,0.0,0.0,236799535.0,236799535.0,236799535.0,236799535.0
27105,Nobles,214459749.0,0.0,0.0,214459749.0,214459749.0,214459749.0,214459749.0
27099,Mower,262113901.0,0.0,0.0,262113901.0,262113901.0,262113901.0,262113901.0
27063,Jackson,254256800.0,0.0,0.0,254256800.0,254256800.0,254256800.0,254256800.0
27033,Cottonwood,264513977.0,0.0,0.0,264513977.0,264513977.0,264513977.0,264513977.0
